Date, ROM 
1/1/2021,"23,410.85"
1/2/2021,"79,567.06"
1/3/2021,"169,419.37"
1/4/2021,"126,382.00"
1/5/2021,"200,211.47"
1/6/2021,"363,795.21"
1/7/2021,"464,287.47"
1/8/2021,"396,471.59"
1/9/2021,"500,402.39"
1/10/2021,"750,921.41"
1/11/2021,"494,570.09"
1/12/2021,"502,967.75"
1/1/2022,"433,642.31"
1/2/2022,"222,127.94"
1/3/2022,"396,797.16"
1/4/2022,"512,062.35"
1/5/2022,"860,227.45"
1/6/2022,"235,252.02"
1/7/2022,"68,673.20"
1/8/2022,"22,877.95"
1/9/2022,"204,290.40"
1/10/2022,"99,036.24"
1/11/2022,"249,032.84"
1/12/2022,"260,553.32"
1/1/2023,"306,750.87"
1/2/2023,"234,862.00"
1/3/2023,"185,642.06"
1/4/2023,"506,828.55"
1/5/2023,"435,470.18"
1/6/2023,"372,060.00"
1/7/2023,"356,184.74"
1/8/2023,"518,092.92"
1/9/2023,"555,452.43"
1/10/2023,"274,611.08"
1/11/2023,"443,086.29"
1/12/2023,"205,823.12"
1/1/2024,"770,140.60"
1/2/2024,"722,603.83"
1/3/2024,"834,242.59"
1/4/2024,"1,075,642.49"
1/5/2024,"1,023,285.29"
1/6/2024,"596,631.81"
1/7/2024,"855,074.02"
1/8/2024,"598,510.15"
1/9/2024,"744,101.40"
1/10/2024,"662,674.25"
1/11/2024,"581,216.93"
1/12/2024,"1,009,275.14"
1/1/2025,"876,719.39"
1/2/2025,"343,066.23"
1/3/2025,"520,821.00"
1/4/2025,"703,590.00"
1/5/2025,"530,370.00"
1/6/2025,"330,611.00"
1/7/2025,"472,102.35"
1/8/2025,"713,101.97"
1/9/2025,"404,894.65"
1/10/2025,"270,397.12"
1/11/2025,"309,820.06"